layer,head,entropy,pos_bias,sensor_pref,locality
0,0,8.412715911865234,0.4038173098084686,-5.66350839411219e-07,4.734223087628682e-09
0,1,8.412715911865234,0.4038173098084686,-5.66350839411219e-07,4.734223087628682e-09
0,2,8.412715911865234,0.4038173098084686,-5.66350839411219e-07,4.734223087628682e-09
0,3,8.412715911865234,0.4038173098084686,-5.66350839411219e-07,4.734223087628682e-09
1,0,8.412715911865234,0.4038173098084686,-5.66350839411219e-07,4.734223087628682e-09
1,1,8.412715911865234,0.4038173098084686,-5.66350839411219e-07,4.734223087628682e-09
1,2,8.412715911865234,0.4038173098084686,-5.66350839411219e-07,4.734223087628682e-09
1,3,8.412715911865234,0.4038173098084686,-5.66350839411219e-07,4.734223087628682e-09
