embed_dim,model,split,acc,acc_L0,acc_L1,f1_L1,auroc,logo_f1
64,LR,Train,1.0,1.0,1.0,1.0,1.0,0.3176470588235294
64,LR,Val,1.0,1.0,1.0,1.0,1.0,0.3176470588235294
64,LR,Test,0.9545,0.9412,1.0,0.9091,1.0,0.3176470588235294
64,SVM,Train,1.0,1.0,1.0,1.0,1.0,0.29411764705882354
64,SVM,Val,1.0,1.0,1.0,1.0,1.0,0.29411764705882354
64,SVM,Test,0.9545,0.9412,1.0,0.9091,0.9882,0.29411764705882354
64,DT,Train,0.9583,1.0,0.8889,0.9412,0.9917,0.29411764705882354
64,DT,Val,1.0,1.0,1.0,1.0,1.0,0.29411764705882354
64,DT,Test,1.0,1.0,1.0,1.0,1.0,0.29411764705882354
64,RF,Train,0.9167,0.8667,1.0,0.9,0.9704,0.3176470588235294
64,RF,Val,0.9333,0.9,1.0,0.9091,0.96,0.3176470588235294
64,RF,Test,0.9545,0.9412,1.0,0.9091,0.9412,0.3176470588235294
64,XGBoost,Train,0.9792,0.9667,1.0,0.973,1.0,0.3176470588235294
64,XGBoost,Val,0.9333,0.9,1.0,0.9091,1.0,0.3176470588235294
64,XGBoost,Test,0.9545,0.9412,1.0,0.9091,1.0,0.3176470588235294
64,PCA+XGBoost,Train,0.9375,0.9,1.0,0.9231,0.9833,0.25882352941176473
64,PCA+XGBoost,Val,1.0,1.0,1.0,1.0,1.0,0.25882352941176473
64,PCA+XGBoost,Test,0.8182,0.8235,0.8,0.6667,0.9412,0.25882352941176473
